source_group,source_id,title,category,source_version,source_url,original_author,original_url,decision,target,reason,source_variants,adapted_variants
gallery,544,幼儿词汇拆解学习卡,Charts & Infographics,b477278bb2a36d4c59655eb0daa4ce48e8dbc4c4,https://github.com/wangge-dev/awesome-gpt-image-2/blob/b477278bb2a36d4c59655eb0daa4ce48e8dbc4c4/docs/gallery-part-2.md#case-544,@Naiknelofar788,https://x.com/Naiknelofar788/status/2092993830220120231,改写收录,prompts/gallery/G07.md,保留拆解教学创意，绑定两组准确词汇和对应图。,,
gallery,543,旅行纪念珐琅徽章,Products & E-commerce,b477278bb2a36d4c59655eb0daa4ce48e8dbc4c4,https://github.com/wangge-dev/awesome-gpt-image-2/blob/b477278bb2a36d4c59655eb0daa4ce48e8dbc4c4/docs/gallery-part-2.md#case-543,@Emmma__0,https://x.com/Emmma__0/status/2093194689222705645,改写收录,prompts/gallery/G21.md,保持场景优先层级，将人物简化与肤色保留写清楚。,,
gallery,542,黑白排版侧脸肖像海报,Posters & Typography,b477278bb2a36d4c59655eb0daa4ce48e8dbc4c4,https://github.com/wangge-dev/awesome-gpt-image-2/blob/b477278bb2a36d4c59655eb0daa4ce48e8dbc4c4/docs/gallery-part-2.md#case-542,@HustleXR,https://x.com/HustleXR/status/2093206386012230000,改写收录,prompts/gallery/G19.md,保留侧脸与排版融合，删除源提示中的随机微型文字。,,
gallery,541,50/50 混合媒介回忆卡,Documents & Publishing,b477278bb2a36d4c59655eb0daa4ce48e8dbc4c4,https://github.com/wangge-dev/awesome-gpt-image-2/blob/b477278bb2a36d4c59655eb0daa4ce48e8dbc4c4/docs/gallery-part-2.md#case-541,@Sairah_0,https://x.com/Sairah_0/status/2093212900160868430,改写收录,prompts/gallery/G09.md,保留50/50媒介对照；如要求照片像素不变，需外部排版合成而非只靠提示词。,,
gallery,540,梦幻未来城市编辑艺术海报,Illustration & Art,b477278bb2a36d4c59655eb0daa4ce48e8dbc4c4,https://github.com/wangge-dev/awesome-gpt-image-2/blob/b477278bb2a36d4c59655eb0daa4ce48e8dbc4c4/docs/gallery-part-2.md#case-540,@Naiknelofar788,https://x.com/Naiknelofar788/status/2093230701986672924,后续精选,,已做索引盘点，尚未逐条改写与内容审核；后续按差异和用途精选，不计为2.5适配内容,,
gallery,539,粗粝手绘搭档肖像海报,Posters & Typography,b477278bb2a36d4c59655eb0daa4ce48e8dbc4c4,https://github.com/wangge-dev/awesome-gpt-image-2/blob/b477278bb2a36d4c59655eb0daa4ce48e8dbc4c4/docs/gallery-part-2.md#case-539,@kingofdairyque,https://x.com/kingofdairyque/status/2093279729717780736,后续精选,,已做索引盘点，尚未逐条改写与内容审核；后续按差异和用途精选，不计为2.5适配内容,,
gallery,538,橡皮章旅行田野笔记海报,Posters & Typography,b477278bb2a36d4c59655eb0daa4ce48e8dbc4c4,https://github.com/wangge-dev/awesome-gpt-image-2/blob/b477278bb2a36d4c59655eb0daa4ce48e8dbc4c4/docs/gallery-part-2.md#case-538,@MahnoorAi12,https://x.com/MahnoorAi12/status/2092221482139349307,后续精选,,已做索引盘点，尚未逐条改写与内容审核；后续按差异和用途精选，不计为2.5适配内容,,
gallery,537,地下档案馆暗黑概念海报,Scenes & Storytelling,b477278bb2a36d4c59655eb0daa4ce48e8dbc4c4,https://github.com/wangge-dev/awesome-gpt-image-2/blob/b477278bb2a36d4c59655eb0daa4ce48e8dbc4c4/docs/gallery-part-2.md#case-537,@PromptSin,https://x.com/PromptSin/status/2092390329890849163,后续精选,,已做索引盘点，尚未逐条改写与内容审核；后续按差异和用途精选，不计为2.5适配内容,,
gallery,536,春日樱花回眸电影人像,Photography & Realism,b477278bb2a36d4c59655eb0daa4ce48e8dbc4c4,https://github.com/wangge-dev/awesome-gpt-image-2/blob/b477278bb2a36d4c59655eb0daa4ce48e8dbc4c4/docs/gallery-part-2.md#case-536,@SheBuildsAI_,https://x.com/SheBuildsAI_/status/2092431090095149533,改写收录,prompts/gallery/G17.md,原JSON中的标题不再误画成海报文字，明确参考图可选。,,
gallery,535,同一人脸十二款发型 Lookbook,Characters & People,b477278bb2a36d4c59655eb0daa4ce48e8dbc4c4,https://github.com/wangge-dev/awesome-gpt-image-2/blob/b477278bb2a36d4c59655eb0daa4ce48e8dbc4c4/docs/gallery-part-2.md#case-535,@Ciri_ai,https://x.com/Ciri_ai/status/2092452220768002400,改写收录,prompts/gallery/G05.md,保留完整12格而非缩减数量，明确仅头发变化，未承诺同脸像素级一致。,,
